@RELATION gradientboosting_classifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {false,true}

@DATA
0.016549,0.022011,2.980749,0.063956,0.138522,0.015959,0.007046,0.027403,-24.822703,4.122602,-0.980143,0.240998,0.188915,0.134857,-0.037741,-0.006877,-0.209213,-0.101340,-0.230771,-0.132710,-0.023870,0.047945,0.003872,0.035320,0.015712,0.014067,0.010997,0.038984,0.005827,0.009017,0.044996,0.014595,0.005697,0.019605,0.002549,0.021424,0.292169,0.026389,0.044457,0.016466,0.002251,0.003981,1.585861,0.495460,0.406138,0.203238,0.182014,0.227777,0.210733,0.151168,0.161337,0.101083,0.131680,0.121347,0.103301,0.023989,0.002880,0.018354,0.010250,0.008617,0.007356,0.008269,0.004813,0.006557,0.021325,0.007421,0.003739,0.003891,false
0.016896,0.025079,2.962799,0.066357,0.142048,0.018972,0.007105,0.027403,-24.665824,4.076077,-0.943908,0.212046,0.199219,0.131697,-0.055186,-0.006262,-0.208341,-0.098337,-0.214431,-0.138326,-0.016238,0.047166,0.004008,0.035315,0.015936,0.014323,0.011464,0.039002,0.005934,0.009255,0.043834,0.015715,0.005400,0.019327,0.002745,0.023761,0.352173,0.027118,0.043894,0.019629,0.002014,0.004120,1.639290,0.528438,0.416499,0.217082,0.192179,0.219086,0.216197,0.173755,0.162771,0.100782,0.145013,0.119336,0.118642,0.022515,0.002716,0.018229,0.010472,0.008005,0.007848,0.008705,0.004895,0.006553,0.021639,0.008560,0.003370,0.003866,false
0.184195,0.021747,3.049396,0.366043,0.385161,0.542838,0.003274,0.263250,-24.781289,3.946623,-0.911153,0.204296,0.160365,0.152853,-0.073940,-0.009240,-0.211631,-0.118225,-0.223531,-0.142975,-0.018655,0.044205,0.003798,0.030584,0.014231,0.011870,0.010054,0.034856,0.005741,0.008142,0.040975,0.012739,0.005015,0.017552,0.119040,0.020764,0.254427,0.104598,0.022277,0.430065,0.001391,0.365718,1.577946,0.506600,0.400058,0.207241,0.167136,0.217410,0.219139,0.163736,0.154430,0.096225,0.128058,0.125779,0.108369,0.023697,0.002635,0.017803,0.009398,0.006604,0.006839,0.008017,0.004677,0.005170,0.019980,0.006313,0.003172,0.004661,false
0.180617,0.023419,3.084673,0.333636,0.319950,0.920015,0.002069,0.255125,-23.904092,2.970867,-0.296835,-0.108335,0.296966,0.084122,-0.019881,-0.072946,-0.158610,-0.146710,-0.220201,-0.115842,-0.055587,0.042074,0.003767,0.029227,0.013228,0.011371,0.009809,0.032984,0.005644,0.007623,0.038329,0.012193,0.004894,0.016483,0.090607,0.021777,0.223146,0.063806,0.008026,0.695554,0.001077,0.280119,1.186331,0.582993,0.401820,0.137796,0.128342,0.212722,0.210190,0.159319,0.153450,0.096186,0.121623,0.117811,0.086475,0.023579,0.002417,0.017406,0.008545,0.006513,0.006658,0.008477,0.004570,0.004532,0.018370,0.005824,0.003010,0.004862,false
0.191003,0.001357,2.860228,0.263411,0.279861,0.972059,0.006910,0.365125,-33.565903,2.153596,0.035580,0.167958,-0.086561,0.094310,0.063592,0.154729,0.101487,0.082757,0.059671,0.000578,-0.053433,0.016251,0.003992,0.034127,0.010264,0.018476,0.006569,0.049604,0.002790,0.005108,0.020483,0.034196,0.004926,0.020132,0.131839,0.004597,0.529655,0.129239,0.073821,0.830018,0.007474,0.363168,3.563007,1.254430,0.504784,0.247001,0.296195,0.201175,0.191418,0.191548,0.174627,0.142607,0.112886,0.168073,0.150038,0.013903,0.002582,0.026636,0.010027,0.014202,0.005123,0.039465,0.004121,0.004695,0.015998,0.028316,0.005029,0.012247,false
0.742177,0.002037,3.259153,0.716722,0.274455,1.802436,0.001348,0.960208,-30.949371,1.650216,-0.130380,0.203087,-0.461463,0.049445,0.129379,0.176780,-0.133453,-0.148988,0.021335,0.063350,0.004245,0.001695,0.000495,0.002207,0.001280,0.001974,0.001514,0.005147,0.001636,0.001642,0.002503,0.002625,0.000586,0.002036,0.103866,0.004454,0.146632,0.068325,0.032977,0.231774,0.001126,0.075644,1.582379,0.468537,0.445487,0.231755,0.231408,0.213188,0.217952,0.188259,0.157534,0.152423,0.143581,0.142385,0.129533,0.003515,0.000829,0.003472,0.001160,0.003639,0.002550,0.011260,0.003072,0.001850,0.003385,0.005195,0.001283,0.003606,false
0.491830,0.002463,3.300623,0.493857,0.289428,3.237333,0.000586,0.881819,-28.028887,0.037465,-0.002054,0.028700,-0.015195,-0.037551,-0.038047,-0.008816,-0.011202,0.009393,0.024441,0.036476,0.008402,0.001953,0.001385,0.002527,0.001803,0.001993,0.002073,0.003048,0.001752,0.001833,0.001803,0.002515,0.001558,0.000976,0.029563,0.003656,0.066685,0.023830,0.003649,0.247533,0.000411,0.067836,0.621425,0.286939,0.282689,0.150567,0.167347,0.131306,0.132742,0.127875,0.139607,0.113318,0.094546,0.155049,0.152745,0.002140,0.000878,0.001611,0.001007,0.001540,0.002221,0.001503,0.002595,0.001351,0.001137,0.002794,0.001279,0.000902,false
0.098159,0.001002,2.930521,0.285894,0.329597,0.459889,0.007658,0.058236,-35.436581,1.617768,0.121655,0.261445,0.082438,0.122290,0.041155,0.071293,0.083984,0.075856,0.029643,0.045808,0.006408,0.004921,0.001503,0.048149,0.005530,0.005432,0.004722,0.170438,0.001381,0.002954,0.003888,0.012849,0.001745,0.049234,0.050091,0.004016,0.230142,0.045962,0.034982,0.320675,0.006899,0.059953,1.426704,0.415954,0.384439,0.189872,0.222076,0.176018,0.175281,0.153025,0.135533,0.130736,0.124139,0.138761,0.131802,0.005456,0.001283,0.047154,0.005569,0.004629,0.005229,0.065177,0.002735,0.003069,0.003090,0.011438,0.002094,0.017487,false
0.745748,0.002960,3.264666,0.720163,0.275741,1.822747,0.001318,0.961458,-29.989450,1.709353,-0.117836,0.220912,-0.417994,0.063144,0.092263,0.156976,-0.125762,-0.150391,0.028281,0.088704,-0.002974,0.001129,0.000371,0.002236,0.001328,0.001725,0.001129,0.005318,0.001646,0.001500,0.002362,0.002531,0.000670,0.001973,0.098997,0.004691,0.137218,0.058710,0.030130,0.212726,0.001072,0.075521,1.285055,0.351410,0.435793,0.266526,0.225627,0.223954,0.232860,0.211105,0.160776,0.163741,0.142497,0.135490,0.135700,0.001586,0.000601,0.003576,0.001148,0.002864,0.001152,0.011791,0.002705,0.001464,0.002969,0.004726,0.001824,0.003447,false
0.494241,0.004396,3.306618,0.496143,0.289389,3.265038,0.000560,0.885389,-26.999565,0.013485,0.018297,0.039111,0.008076,-0.032070,-0.054049,-0.026294,-0.017326,0.003440,0.025198,0.043334,0.007056,0.001510,0.001287,0.002616,0.001816,0.001732,0.001691,0.003031,0.001724,0.001650,0.001710,0.002372,0.001632,0.000901,0.027770,0.004008,0.055335,0.018596,0.003189,0.207153,0.000361,0.065670,0.466081,0.199583,0.263565,0.164523,0.158042,0.152433,0.155641,0.148025,0.134327,0.128014,0.107818,0.156661,0.146256,0.000725,0.000722,0.001642,0.000992,0.000750,0.000802,0.001490,0.002302,0.000896,0.000785,0.002327,0.001885,0.000747,false
