@RELATION svm_classifier
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {false,true}

@DATA
0.018914,0.018226,2.930698,0.220752,0.228785,0.190881,0.010805,0.009594,-33.667163,2.688869,-0.213604,-0.010516,-0.061909,0.084103,0.002314,-0.061492,-0.020231,-0.017736,-0.127064,-0.129574,-0.121642,0.008285,0.002943,0.078301,0.006734,0.007657,0.004129,0.095691,0.000296,0.002072,0.013022,0.019099,0.001715,0.039354,0.013093,0.026539,0.256236,0.077165,0.052791,0.081221,0.006879,0.007992,3.535913,1.095366,0.445016,0.316857,0.220088,0.149290,0.162196,0.133532,0.134210,0.129710,0.141607,0.122716,0.120644,0.006429,0.002999,0.019549,0.005597,0.007597,0.003782,0.026034,0.000324,0.002739,0.009905,0.013824,0.002213,0.005574,false
0.011477,0.018838,2.962195,0.261205,0.252658,0.186239,0.010753,0.012097,-34.629923,2.063403,-0.608413,-0.184125,-0.245588,-0.046897,-0.026093,-0.000826,0.013953,0.064230,-0.008890,-0.068485,-0.065080,0.008683,0.003770,0.044024,0.007010,0.010654,0.005886,0.098092,0.001375,0.004498,0.011167,0.016332,0.002565,0.035665,0.012438,0.025447,0.321747,0.104161,0.064158,0.108911,0.007600,0.009661,4.315649,1.229362,0.636792,0.342164,0.259121,0.191616,0.155075,0.181513,0.190534,0.159135,0.224171,0.211001,0.170418,0.007716,0.004923,0.042721,0.006639,0.010771,0.006948,0.033978,0.002632,0.007842,0.010273,0.012996,0.003266,0.009141,false
0.017672,0.021785,3.014361,0.065845,0.141938,0.016841,0.006634,0.028823,-24.990023,4.266188,-0.963380,0.225047,0.195839,0.095825,-0.096035,-0.015712,-0.199628,-0.101625,-0.212726,-0.131997,-0.025229,0.047357,0.004271,0.035195,0.016304,0.012453,0.010214,0.040822,0.005196,0.010336,0.046716,0.014821,0.005347,0.019469,0.002770,0.020845,0.274051,0.027012,0.044118,0.017362,0.001807,0.003958,1.438518,0.535559,0.408564,0.228982,0.180629,0.233226,0.220628,0.149532,0.143819,0.081838,0.128139,0.117445,0.114708,0.022922,0.003004,0.016752,0.009863,0.006309,0.006683,0.006844,0.004193,0.006385,0.020053,0.006288,0.002973,0.003640,false
0.030659,0.017302,2.883977,0.277289,0.270238,0.306629,0.010212,0.016927,-35.542376,1.890891,-0.432029,-0.217649,-0.191270,-0.013614,-0.023539,0.046503,0.105658,0.028797,-0.028710,-0.075411,0.001363,0.007704,0.004002,0.050916,0.007362,0.009381,0.004164,0.104184,0.000590,0.002952,0.009977,0.017997,0.002877,0.036990,0.017972,0.022760,0.380776,0.109265,0.053815,0.120329,0.007722,0.015732,4.059610,1.145301,0.508394,0.305736,0.270793,0.167779,0.143421,0.175271,0.139326,0.147960,0.194474,0.182094,0.125681,0.006159,0.004731,0.040587,0.006935,0.009145,0.004589,0.030475,0.000593,0.003721,0.009348,0.015080,0.003821,0.007208,false
0.010838,0.061754,2.896891,0.116287,0.199129,0.055464,0.023623,0.005073,-24.615285,2.385827,0.248884,0.406681,0.113863,0.202619,0.107114,0.110306,0.005677,0.018803,0.064594,0.085041,-0.009819,0.003654,0.000329,0.089787,0.001752,0.005027,0.001164,0.215389,0.000145,0.000887,0.003290,0.008681,0.000409,0.065326,0.007093,0.041461,0.177561,0.014521,0.017130,0.023828,0.020175,0.002789,0.351125,0.089822,0.095953,0.104406,0.110429,0.110375,0.099975,0.102608,0.095246,0.090589,0.100486,0.094991,0.100986,0.001554,0.000311,0.042372,0.001923,0.003449,0.000919,0.051635,0.000119,0.000544,0.001547,0.008780,0.000374,0.013332,false
0.116267,0.001887,2.810917,0.187574,0.222595,0.602325,0.004955,0.165375,-33.273823,1.703241,-2.210281,-0.137714,0.288543,-0.024540,-0.072930,0.075271,0.058632,-0.225544,-0.231531,0.027618,0.060465,0.018347,0.004732,0.010625,0.008906,0.006980,0.005988,0.011539,0.005032,0.004877,0.006208,0.013414,0.013312,0.008676,0.086762,0.003725,0.434156,0.104051,0.067187,0.722958,0.002486,0.178094,4.732145,0.526927,1.032531,0.391992,0.266064,0.209855,0.170382,0.216574,0.277771,0.202699,0.228551,0.172059,0.240783,0.013577,0.003305,0.005177,0.006244,0.005892,0.004434,0.008795,0.004153,0.004399,0.004779,0.011254,0.009568,0.003595,false
0.749500,0.018435,3.292542,0.747100,0.254011,1.793030,0.001107,0.978052,-28.208788,1.272276,-0.038615,0.292963,-0.460319,0.101085,0.179441,0.214361,-0.142555,-0.139619,0.043407,0.037286,-0.000167,0.000773,0.000192,0.001348,0.000759,0.001311,0.000792,0.003574,0.000980,0.000984,0.001843,0.001346,0.000176,0.001373,0.043366,0.005552,0.053207,0.022076,0.020824,0.093729,0.000423,0.008754,1.028200,0.351022,0.256634,0.178442,0.210444,0.217882,0.164936,0.140280,0.148692,0.139772,0.119816,0.118429,0.122453,0.000931,0.000144,0.001791,0.000384,0.001988,0.000542,0.007803,0.000887,0.000790,0.002086,0.001816,0.000143,0.002138,false
0.070863,0.001035,2.337827,0.235601,0.248078,0.551018,0.007322,0.035865,-38.888544,2.165740,0.511722,0.355261,0.167291,0.213591,0.037232,0.090366,-0.057343,-0.003129,0.002543,0.044516,0.016629,0.014063,0.001822,0.040187,0.007744,0.024295,0.007314,0.068085,0.001564,0.003715,0.018265,0.037436,0.002257,0.023674,0.039511,0.004326,0.595471,0.063922,0.026814,0.344108,0.005561,0.050281,3.328035,0.740229,0.492953,0.329638,0.175150,0.186881,0.138389,0.115547,0.138450,0.128019,0.156391,0.099286,0.111282,0.009571,0.001547,0.024987,0.004541,0.018386,0.004272,0.027565,0.001535,0.002838,0.012069,0.023726,0.001922,0.007933,false
0.084572,0.001094,2.790747,0.172348,0.205296,0.539303,0.008262,0.130406,-32.797681,2.648191,0.381796,0.321371,-0.133392,0.130691,0.101347,0.191610,-0.026254,0.028067,0.048740,-0.008030,-0.042467,0.020175,0.002829,0.037743,0.016958,0.028692,0.004764,0.049701,0.001214,0.004154,0.031919,0.037187,0.004515,0.024213,0.045342,0.002821,0.451988,0.069743,0.043372,0.430090,0.005913,0.122461,3.086076,0.816676,0.272360,0.181630,0.223845,0.159333,0.128481,0.162717,0.160403,0.119925,0.105485,0.136339,0.124376,0.017246,0.002776,0.025474,0.009685,0.013141,0.003092,0.029769,0.001259,0.003785,0.017255,0.025212,0.004757,0.007779,false
0.076344,0.001138,2.603999,0.177559,0.203389,0.521229,0.007750,0.045688,-36.264104,2.019369,0.078688,0.088435,-0.183128,0.054813,-0.070632,0.193152,0.055273,0.050669,-0.012831,-0.022953,0.011251,0.013854,0.006133,0.025408,0.009117,0.018148,0.008205,0.065040,0.001524,0.005597,0.013803,0.024591,0.006790,0.022164,0.025320,0.003054,0.625692,0.049287,0.033594,0.305094,0.005519,0.041817,2.309158,0.839738,0.452505,0.254977,0.243835,0.188294,0.169311,0.140761,0.160634,0.188985,0.201790,0.145705,0.166532,0.011045,0.006060,0.016794,0.007125,0.011914,0.007743,0.022219,0.001658,0.003810,0.010171,0.016267,0.006639,0.005680,false
0.498447,0.334863,3.319868,0.500548,0.288371,3.316450,0.000450,0.896417,-20.881426,-0.103356,0.027843,0.047419,-0.012081,-0.054242,-0.029172,0.025339,0.012329,0.045902,0.015670,0.010619,-0.037066,0.001549,0.001287,0.002145,0.001390,0.001712,0.001399,0.002652,0.001209,0.001462,0.001462,0.001602,0.001428,0.000669,0.007275,0.005487,0.000663,0.003524,0.001717,0.001875,0.000035,0.007645,0.105807,0.108974,0.115098,0.129375,0.122624,0.110639,0.154463,0.117347,0.134208,0.110619,0.104926,0.127206,0.147563,0.000496,0.000598,0.000661,0.000454,0.000640,0.000452,0.000600,0.000356,0.000396,0.000403,0.000475,0.000586,0.000138,false
